FDP NAME,LEA,NO OF SPLITTERS,SPLITTER TYPE,ROAD NAME,REMARKS,TYPE,LAC,Exst_New,Longitute,Latitude
KL-SVK-0567-003,KL,1,1:8,Kalmunai - Chavalakadai Road,,Pole Mounted,,Exst,81.7877512559833,7.41969057249832
KL-SVK-0567-008,KL,1,1:8,Kalmunai - Chavalakadai Road,,Pole Mounted,,Exst,81.7767582536746,7.41306284286935
KL-SVK-0567-001,KL,1,1:8,Kalmunai - Chavalakadai Road,,Pole Mounted,,New,81.7882960709011,7.42150259880174
KL-SVK-0567-002,KL,1,1:8,Kalmunai - Chavalakadai Road,,Pole Mounted,,New,81.7861782086906,7.4187231451856
KL-SVK-0567-005,KL,1,1:8,Kalmunai - Chavalakadai Road,,Pole Mounted,,New,81.7711152683705,7.40837610909019
KL-SVK-0567-006,KL,1,1:8,Kalmunai - Chavalakadai Road,,Pole Mounted,,New,81.7738052825397,7.41010743709675
