LEA,Cable_Type,Main_Sheat,Ext_Sheath,CBL_END_1,CBL_END_2,Length,Cores,Duct,PE_Number,Remarks,SLT-REF,Desc
KL,Aerial,,,KL-CL-00001,KL-SRK-0550-002,199m,OF-4-1.3,,,,FSSD_SLTS_2025_017(04),Laying of Optical Fiber to Pillaiyar Kovil. Opening of 04 Fiber DPs.
KL,Aerial,,,KL-SRK-0550-008,KL-SRK-0550-005,927m,OF-4-1.3,,,,FSSD_SLTS_2025_017(04),Laying of Optical Fiber to Pillaiyar Kovil. Opening of 04 Fiber DPs.
KL,Aerial,,,KL-CL-00001,KL-SRK-0550-001,234m,OF-4-1.3,,,,FSSD_SLTS_2025_017(04),Laying of Optical Fiber to Pillaiyar Kovil. Opening of 04 Fiber DPs.
KL,Aerial,,,KL-SRK-0550-003,KL-CL-00001,40m,OF-4-1.3,,,,FSSD_SLTS_2025_017(04),Laying of Optical Fiber to Pillaiyar Kovil. Opening of 04 Fiber DPs.
